ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CommonTranscription
CentralMalay-1_one-1,1,CentralMalay,1_one,satoe,satoe,,,VonRosenberg1853,,,,,
Lampungic-1_one-1,2,Lampungic,1_one,sije,sije,,,VonRosenberg1853,,,,,
Rejang-1_one-1,3,Rejang,1_one,do,do,,,VonRosenberg1853,,,,,
Batakic-1_one-1,4,Batakic,1_one,sada,sada,,,VonRosenberg1853,,,,,
Acehnese-1_one-1,5,Acehnese,1_one,sa,sa,,,VonRosenberg1853,,,,,
Nias-1_one-1,6,Nias,1_one,sara,sara,,,VonRosenberg1853,,,,,
Mentawai-1_one-1,7,Mentawai,1_one,sara,sara,,,VonRosenberg1853,,,,,
Enggano-1_one-1,8,Enggano,1_one,daheij,daheij,,,VonRosenberg1853,,,,,
CentralMalay-2_two-1,9,CentralMalay,2_two,doea,doea,,,VonRosenberg1853,,,,,
Lampungic-2_two-1,10,Lampungic,2_two,rowa,rowa,,,VonRosenberg1853,,,,,
Rejang-2_two-1,11,Rejang,2_two,dooij,dooij,,,VonRosenberg1853,,,,,
Batakic-2_two-1,12,Batakic,2_two,doeo,doeo,,,VonRosenberg1853,,,,,
Acehnese-2_two-1,13,Acehnese,2_two,doea,doea,,,VonRosenberg1853,,,,,
Nias-2_two-1,14,Nias,2_two,doea,doea,,,VonRosenberg1853,,,,,
Mentawai-2_two-1,15,Mentawai,2_two,doea,doea,,,VonRosenberg1853,,,,,
Enggano-2_two-1,16,Enggano,2_two,adoea,adoea,,,VonRosenberg1853,,,,,
CentralMalay-3_three-1,17,CentralMalay,3_three,tiga,tiga,,,VonRosenberg1853,,,,,
Lampungic-3_three-1,18,Lampungic,3_three,pullo,pullo,,,VonRosenberg1853,,,,,
Rejang-3_three-1,19,Rejang,3_three,tellau,tellau,,,VonRosenberg1853,,,,,
Batakic-3_three-1,20,Batakic,3_three,tolo,tolo,,,VonRosenberg1853,,,,,
Acehnese-3_three-1,21,Acehnese,3_three,tlo,tlo,,,VonRosenberg1853,,,,,
Nias-3_three-1,22,Nias,3_three,feloe,feloe,,,VonRosenberg1853,,,,,
