ID	Form	Dutch	English	Doculect_orig	Doculect	Glottocode	Glottolog_name	Concepticon_ID	Concepticon_Gloss
1	satoe	een	one	Maleisch	CentralMalay	mala1479	Central Malay	1493	ONE
2	sije	een	one	Lampongsch	Lampungic	lamp1241	Lampungic	1493	ONE
3	do	een	one	Redjangsch	Rejang	reja1240	Rejang	1493	ONE
4	sada	een	one	Battasch	Batakic	toba1265	Batakic	1493	ONE
5	sa	een	one	Atjinesch	Acehnese	achi1257	Acehnese	1493	ONE
6	sara	een	one	Niasch	Nias	nias1242	Nias	1493	ONE
7	sara	een	one	Mentaweijsch	Mentawai	ment1249	Mentawai	1493	ONE
8	daheij	een	one	Engganoosch	Enggano	engg1245	Enggano	1493	ONE
9	doea	twee	two	Maleisch	CentralMalay	mala1479	Central Malay	1498	TWO
10	rowa	twee	two	Lampongsch	Lampungic	lamp1241	Lampungic	1498	TWO
11	dooij	twee	two	Redjangsch	Rejang	reja1240	Rejang	1498	TWO
12	doeo	twee	two	Battasch	Batakic	toba1265	Batakic	1498	TWO
13	doea	twee	two	Atjinesch	Acehnese	achi1257	Acehnese	1498	TWO
14	doea	twee	two	Niasch	Nias	nias1242	Nias	1498	TWO
15	doea	twee	two	Mentaweijsch	Mentawai	ment1249	Mentawai	1498	TWO
16	adoea	twee	two	Engganoosch	Enggano	engg1245	Enggano	1498	TWO
17	tiga	drie	three	Maleisch	CentralMalay	mala1479	Central Malay	492	THREE
18	pullo	drie	three	Lampongsch	Lampungic	lamp1241	Lampungic	492	THREE
19	tellau	drie	three	Redjangsch	Rejang	reja1240	Rejang	492	THREE
20	tolo	drie	three	Battasch	Batakic	toba1265	Batakic	492	THREE
21	tlo	drie	three	Atjinesch	Acehnese	achi1257	Acehnese	492	THREE
22	feloe	drie	three	Niasch	Nias	nias1242	Nias	492	THREE
23	teloe	drie	three	Mentaweijsch	Mentawai	ment1249	Mentawai	492	THREE
24	agoloe	drie	three	Engganoosch	Enggano	engg1245	Enggano	492	THREE
25	ampat	vier	four	Maleisch	CentralMalay	mala1479	Central Malay	1500	FOUR
26	ampa	vier	four	Lampongsch	Lampungic	lamp1241	Lampungic	1500	FOUR
27	mpat	vier	four	Redjangsch	Rejang	reja1240	Rejang	1500	FOUR
28	opat	vier	four	Battasch	Batakic	toba1265	Batakic	1500	FOUR
29	pat	vier	four	Atjinesch	Acehnese	achi1257	Acehnese	1500	FOUR
30	effa	vier	four	Niasch	Nias	nias1242	Nias	1500	FOUR
